reference_clause,target_clause,compliance,source_file
Receiving Party may create a copy of some Confidential Information in some circumstances.,"Receiving Party shall not, without prior written approval of Disclosing Party, use for Receiving Party's own benefit, publish, copy, transmit, use, or otherwise disclose to others, or permit the use by others for their benefit or to the detriment of Disclosing Party, any Confidential Information.",noncompliant,NDA_6.pdf
Receiving Party may acquire information similar to Confidential Information from a third party.,Receiving Party's obligations under this Agreement do not extend to information that is:  (c) learned by the Receiving Party through legitimate means other than from the Disclosing Party or Disclosing Party's representatives; or,compliant,NDA_6.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,"Receiving Party shall carefully restrict access to Confidential Information to any employees, contractors, agents, and any other third parties as is reasonably required and shall require those persons to sign non-disclosure restrictions at least as protective as those in this Agreement.",compliant,NDA_6.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,"Receiving Party shall not, without prior written approval of Disclosing Party, use for Receiving Party's own benefit, publish, copy, transmit, use, or otherwise disclose to others, or permit the use by others for their benefit or to the detriment of Disclosing Party, any Confidential Information.",compliant,NDA_6.pdf
Agreement shall not grant Receiving Party any right to Confidential Information.,"7. The confidential information, including any documents, drawings, sketches, designs, materials or samples supplied hereunder, will remain the property of the party disclosing or supplying the same and no rights are granted to the other party in the same, whether patented or not except the limited right to use set out above with respect to the said Field.",compliant,NDA_7.pdf
All Confidential Information shall be expressly identified by the Disclosing Party.,"3. Disclosure: A party (the “disclosing Party”) may, in connection with the Business Discussions, disclose to the other Party information, including, without limitation, oral, written, graphical or electronic information and all compilations, analyses, notes, copies prepared, generated or delivered there from, which is identified as “confidential information” or “confidential business information” (the “Confidential Business Information”) by the Disclosing Party at the time of disclosure to the receiving party (the “Receiving Party”).",compliant,NDA_7.pdf
Some obligations of Agreement may survive termination of Agreement.,"6. The obligations of confidentiality in this agreement shall cease when both parties give written notification of its termination, or 5 years after the date hereof, whichever is the sooner.",compliant,NDA_7.pdf
Receiving Party may independently develop information similar to Confidential Information.,4. The restrictions as to the use and disclosure set out above shall not apply to: d. or any Confidential Information which as demonstrate by tangible evidence is independently developed by an employee of the recipient who has not had access to any of the Information disclosed to the recipient by the other party.,compliant,NDA_7.pdf
Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,"5. Neither party shall, with out the prior written consent of the other party, copy or reproduce any document which may be supplied hereunder and either party receiving any such document will  a) return the same and any copies made thereof to the party supplying the same if so requested by the supplying party and",noncompliant,NDA_7.pdf
Confidential Information may include verbally conveyed information.,"3. Disclosure: A party (the “disclosing Party”) may, in connection with the Business Discussions, disclose to the other Party information, including, without limitation, oral, written, graphical or electronic information and all compilations, analyses, notes, copies prepared, generated or delivered there from, which is identified as “confidential information” or “confidential business information” (the “Confidential Business Information”) by the Disclosing Party at the time of disclosure to the receiving party (the “Receiving Party”).",compliant,NDA_7.pdf
"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).","2. Each party will treat the confidential information disclosed to it by the other party as a secret and confidential and will not except with the prior written consent of the other, make use of the same except for the purpose of evaluation thereof, nor disclose the same to any third party except, and then only to the extent necessary to evaluate the same, to such of its employees as shall have been made fully aware that the same is secret and confidential and are bound to treat it as such.",compliant,NDA_7.pdf
Receiving Party may create a copy of some Confidential Information in some circumstances.,"5. Neither party shall, with out the prior written consent of the other party, copy or reproduce any document which may be supplied hereunder and either party receiving any such document will",noncompliant,NDA_7.pdf
Receiving Party may acquire information similar to Confidential Information from a third party.,4. The restrictions as to the use and disclosure set out above shall not apply to: c. or any of the confidential information which is lawfully acquired by the recipient from an independent source having a bona fida right to disclose the same.,compliant,NDA_7.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,"2. Each party will treat the confidential information disclosed to it by the other party as a secret and confidential and will not except with the prior written consent of the other, make use of the same except for the purpose of evaluation thereof, nor disclose the same to any third party except, and then only to the extent necessary to evaluate the same, to such of its employees as shall have been made fully aware that the same is secret and confidential and are bound to treat it as such.",compliant,NDA_7.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,"2. Each party will treat the confidential information disclosed to it by the other party as a secret and confidential and will not except with the prior written consent of the other, make use of the same except for the purpose of evaluation thereof, nor disclose the same to any third party except, and then only to the extent necessary to evaluate the same, to such of its employees as shall have been made fully aware that the same is secret and confidential and are bound to treat it as such.",compliant,NDA_7.pdf
Receiving Party shall not reverse engineer any objects which embody Disclosing Party's Confidential Information.,"Recipient agrees that it will not modify, adapt, translate, duplicate, disassemble, reverse assemble, reverse compile, or reverse engineer, or take similar action with respect to any software provided by Discloser in connection with this Agreement for any purpose, or otherwise attempt to discover the underlying source code of any such software..",compliant,mnda-1110.pdf
Agreement shall not grant Receiving Party any right to Confidential Information.,"6. No rights, licenses, titles or interests of any nature in or relating to any intellectual property right of the Discloser shall be deemed to be conferred by this Agreement or by any disclosure of Discloser Confidential Information made to the Recipient except the limited right to review such Discloser Confidential Information in connection with the Purpose.  9. All Confidential Information furnished by Discloser to Recipient shall remain the property of Discloser and shall be returned to Discloser promptly at its request with all copies made thereof or destroyed and a certificate of such destruction provided to Discloser signed by a duly authorized representative of Recipient.",compliant,mnda-1110.pdf
Confidential Information shall only include technical information.,"To further the potential business relationship between AirWatch and Company (the “Purpose”), it is necessary and desirable that each party to this Agreement furnish the other party with certain proprietary information, which includes, but is not limited to that which relates to software, computer codes or instructions, developments, inventions, processes, designs, drawings, engineering, pricing, research, statistics, business plans, product plans, products, services, customers or prospective customers, contractors, licensors, suppliers, markets, marketing, finances, and any other materials that have not been made available to the general public and which have been the subject of reasonable efforts to be kept secret (""Confidential Information"").",noncompliant,mnda-1110.pdf
Some obligations of Agreement may survive termination of Agreement.,"Unless governed by contrary confidentiality provisions contained in any definitive agreement between the parties, the termination of this Agreement or the conclusion of the discussions between the parties regarding the Purpose (the “Exchange End Date”), the commitments of Recipient shall survive and continue for a period of five (5) years following such termination or the Exchange End Date; provided, however that the obligations of Recipient with respect to any Confidential Information that constitutes a trade secret shall survive for so long as such information remains a trade secret under applicable law.",compliant,mnda-1110.pdf
Receiving Party may independently develop information similar to Confidential Information.,4. Recipient shall have no obligation with respect to information that:  (d) can be shown by documentation to have been independently developed by the Recipient without the use of or reference to any Confidential Information; or,compliant,mnda-1110.pdf
Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,9. All Confidential Information furnished by Discloser to Recipient shall remain the property of Discloser and shall be returned to Discloser promptly at its request with all copies made thereof or destroyed and a certificate of such destruction provided to Discloser signed by a duly authorized representative of Recipient.,noncompliant,mnda-1110.pdf
"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).",1. Recipient shall not communicate Discloser’s Confidential Information to any third party and shall use its best efforts to prevent inadvertent disclosure of the Confidential Information to any third party.,noncompliant,mnda-1110.pdf
Receiving Party may create a copy of some Confidential Information in some circumstances.,"Recipient agrees that it will not modify, adapt, translate, duplicate, disassemble, reverse assemble, reverse compile, or reverse engineer, or take similar action with respect to any software provided by Discloser in connection with this Agreement for any purpose, or otherwise attempt to discover the underlying source code of any such software..",noncompliant,mnda-1110.pdf
"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.",4. Recipient shall have no obligation with respect to information that:  (e) disclosure is required by court or government order and Discloser has been given notice of such order so that they may seek a protective order or other appropriate remedy.,compliant,mnda-1110.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,"2. Recipient shall neither use Discloser’s Confidential Information nor circulate it within its own organization, except to the extent necessary for negotiations, discussions and consultations with personnel or authorized representatives of Discloser and then only to those who been advised that they are subject to the terms of this Agreement and have signed a non-disclosure or other equivalent agreement that protects the Confidential Information.",compliant,mnda-1110.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,3. Recipient shall not use any of Discloser’s Confidential Information for its own benefit other than for the Purpose.,compliant,mnda-1110.pdf
Agreement shall not grant Receiving Party any right to Confidential Information.,"4. All tangible forms of the Information, such as written documentation, delivered by ONS to the RECIPIENT and all copies thereof made by the RECIPIENT pursuant to this Agreement shall be and remain the property of ONS, and all such tangible Information shall be promptly returned to ONS upon request. 6. The RECIPIENT acknowledges that all Intellectual Property Rights (IPR) in and to the Information shall at all times remain vested in ONS.",compliant,modelnondisclosureagreement1.pdf
Some obligations of Agreement may survive termination of Agreement.,7. The obligation under this Agreement shall continue for an indefinite period from the date of disclosure of Information.,compliant,modelnondisclosureagreement1.pdf
Receiving Party may independently develop information similar to Confidential Information.,"3. The RECIPIENT shall have no obligation with respect to such Information if such Information: (c) is independently developed by the RECIPIENT, provided the RECIPIENT can show that such development was accomplished without reference to or use of the Information: or",compliant,modelnondisclosureagreement1.pdf
Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,"4. All tangible forms of the Information, such as written documentation, delivered by ONS to the RECIPIENT and all copies thereof made by the RECIPIENT pursuant to this Agreement shall be and remain the property of ONS, and all such tangible Information shall be promptly returned to ONS upon request.",noncompliant,modelnondisclosureagreement1.pdf
"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).","2. The RECIPIENT and Supplier will limit access to the Information to only those of its employees, agents, sub-contractors (and employees of same) who have an absolute need to know in order to fulfil the purposes for which the Information was disclosed and shall notify such employees, agents, sub-contractors (and employees of same) of the RECIPIENT'S obligations under this Agreement.",compliant,modelnondisclosureagreement1.pdf
Receiving Party may create a copy of some Confidential Information in some circumstances.,"However, the RECIPIENT may make as many copies of the Information as are necessary for the permitted purpose.",compliant,modelnondisclosureagreement1.pdf
Receiving Party may acquire information similar to Confidential Information from a third party.,3. The RECIPIENT shall have no obligation with respect to such Information if such Information: (d) becomes known to the RECIPIENT from a source other than ONS having the rights to disclose such Information to the RECIPIENT without breach of this Agreement by the RECIPIENT.,compliant,modelnondisclosureagreement1.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,"2. The RECIPIENT and Supplier will limit access to the Information to only those of its employees, agents, sub-contractors (and employees of same) who have an absolute need to know in order to fulfil the purposes for which the Information was disclosed and shall notify such employees, agents, sub-contractors (and employees of same) of the RECIPIENT'S obligations under this Agreement.",compliant,modelnondisclosureagreement1.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,The RECIPIENT shall not use the Information except for the permitted purpose.,compliant,modelnondisclosureagreement1.pdf
Agreement shall not grant Receiving Party any right to Confidential Information.,"6.0 This Agreement shall not be construed as creating, conveying, transferring, granting or conferring upon either party any rights, license or authority in or to the information exchanged, except the limited right to use Confidential Information specified in Section 2 above.  Furthermore and specifically, no license or conveyance of any intellectual property rights is granted or implied by this Agreement.",compliant,mutual_non_disclosure_agreement-20171020.pdf
Confidential Information shall only include technical information.,"The confidential information to be disclosed under this Agreement (”Confidential Information”) can be described as and includes: technical and business information relating to proprietary ideas, patentable ideas and/or trade secrets, existing and/or contemplated products and services, research and development, production, costs, profit and margin information, finances and financial projections, customers, clients, marketing, and current or future business plans and models, regardless of whether such information is designated as “Confidential Information” or proprietary at the time of its disclosure.",noncompliant,mutual_non_disclosure_agreement-20171020.pdf
All Confidential Information shall be expressly identified by the Disclosing Party.,"The confidential information to be disclosed under this Agreement (”Confidential Information”) can be described as and includes: technical and business information relating to proprietary ideas, patentable ideas and/or trade secrets, existing and/or contemplated products and services, research and development, production, costs, profit and margin information, finances and financial projections, customers, clients, marketing, and current or future business plans and models, regardless of whether such information is designated as “Confidential Information” or proprietary at the time of its disclosure.",noncompliant,mutual_non_disclosure_agreement-20171020.pdf
Receiving Party may independently develop information similar to Confidential Information.,This Agreement imposes no obligation upon the Parties with respect to any Confidential Information  (e) is independently developed.,compliant,mutual_non_disclosure_agreement-20171020.pdf
Confidential Information may include verbally conveyed information.,"a. In addition to the above, Confidential Information shall also include, and the Parties shall have a duty to protect, other confidential and/or sensitive information which is  (a) disclosed as such in writing and marked as confidential (or with other similar designation) at the time of disclosure; and/or  (b) disclosed by in any other manner and identified as confidential at the time of disclosure and is also summarized and designated as confidential in a written memorandum delivered within thirty (30) days of the disclosure.",compliant,mutual_non_disclosure_agreement-20171020.pdf
"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).","The Parties shall limit disclosure of Confidential Information within its own organization to its directors, officers, partners, members and/or employees having a need to know Confidential Information and shall not disclose Confidential Information to any third party (whether an individual, corporation, or other entity) without the prior written consent of the other party, which consent shall not be unreasonably withheld.",noncompliant,mutual_non_disclosure_agreement-20171020.pdf
Receiving Party may acquire information similar to Confidential Information from a third party.,This Agreement imposes no obligation upon the Parties with respect to any Confidential Information  (c) is rightfully received from a third party not owing a duty of confidentiality to the disclosing party;,compliant,mutual_non_disclosure_agreement-20171020.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,"The Parties shall limit disclosure of Confidential Information within its own organization to its directors, officers, partners, members and/or employees having a need to know Confidential Information and shall not disclose Confidential Information to any third party (whether an individual, corporation, or other entity) without the prior written consent of the other party, which consent shall not be unreasonably withheld.",compliant,mutual_non_disclosure_agreement-20171020.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,"The Parties shall use the Confidential Information only for the purpose of evaluating a potential business, employment and/or investment relationship with the other party. Any addition or modification to this Agreement must be made in writing and signed by authorized representatives of both Parties.",compliant,mutual_non_disclosure_agreement-20171020.pdf
Agreement shall not grant Receiving Party any right to Confidential Information.,"Nothing contained herein shall grant a license under any patent or other intellectual property right, nor shall this Agreement or any transmission of information constitute any representation or warranty to the Recipient with respect to infringement of any intellectual property rights of others.",compliant,nda_1.pdf
Confidential Information shall only include technical information.,"(i) samples and prototypes,  Confidential Information includes, but is not limited to, information regarding pricing, customers and prospective customers, vendors and vendor lists, costed bills of materials, processes (including but not limited to manufacturing processes), know-how, designs (including but not limited to designs of enclosures and printed circuit boards), formulae, computer programs, databases, methods of operation, sales techniques, business methods or plans, marketing plans and strategies, finances, management, plant and equipment, and any other business information relating to Sanmina, whether constituting a trade secret, proprietary information or otherwise, which has value to Sanmina and is treated by Sanmina as being confidential.",noncompliant,nda_1.pdf
All Confidential Information shall be expressly identified by the Disclosing Party.,"“Confidential Information” shall mean and include  (i) samples and prototypes,  (ii) all information disclosed in any form or medium (e.g., written, verbal, electronic, visual) which  (a) has been identified by Sanmina as “Confidential,” “Proprietary” or other appropriate legend indicating the confidential nature of the information or  (b) would reasonably be understood to be confidential.",noncompliant,nda_1.pdf
Some obligations of Agreement may survive termination of Agreement.,"Recipient’s duty of non-disclosure under this Agreement shall extend beyond the term of this Agreement for a period of three (3) years from the date of last disclosure.  The parties agree that Confidential Information constituting a trade secret shall remain subject to the confidentiality obligations of this Agreement for so long as such Confidential Information qualifies as a trade secret under applicable law. Within ten (10) days after any written request by Sanmina, the Recipient shall promptly return all copies of the Confidential Information except copies required for backup, disaster recovery, or business continuity and in such case the obligations hereunder shall survive until such copies are destroyed.",compliant,nda_1.pdf
Receiving Party may independently develop information similar to Confidential Information.,Information in the following categories shall not be considered Confidential Information under this Agreement:  (e) information which the Recipient can show was independently developed by the Recipient without reference to Sanmina’s Confidential Information.,compliant,nda_1.pdf
Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,"Within ten (10) days after any written request by Sanmina, the Recipient shall promptly return all copies of the Confidential Information except copies required for backup, disaster recovery, or business continuity and in such case the obligations hereunder shall survive until such copies are destroyed.",compliant,nda_1.pdf
Confidential Information may include verbally conveyed information.,"“Confidential Information” shall mean and include  (i) samples and prototypes,  (ii) all information disclosed in any form or medium (e.g., written, verbal, electronic, visual) which  (a) has been identified by Sanmina as “Confidential,” “Proprietary” or other appropriate legend indicating the confidential nature of the information or  (b) would reasonably be understood to be confidential.",compliant,nda_1.pdf
"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).","Recipient shall  (i) limit access to all Confidential Information to its employees who shall reasonably require access to the Confidential Information for the purpose set forth above,",noncompliant,nda_1.pdf
"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.","Nothing contained in this Agreement shall restrict  Recipient from disclosing Confidential Information that is required to be disclosed under any subpoena or court order provided that the Recipient provides Sanmina with prompt notice so that Sanmina may, at its expense, seek a protective order or take other appropriate measures.",compliant,nda_1.pdf
Receiving Party may acquire information similar to Confidential Information from a third party.,Information in the following categories shall not be considered Confidential Information under this Agreement:  (a) information which is in the public domain at the time of the receipt under this Agreement;  (d) information that the Recipient can show was acquired by the Recipient from a third party who was not known by the Recipient to be under an obligation of confidence to Sanmina; and,compliant,nda_1.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,"Recipient shall  (i) limit access to all Confidential Information to its employees who shall reasonably require access to the Confidential Information for the purpose set forth above,",compliant,nda_1.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,"Recipient shall  (iii) shall use the Confidential Information solely in connection with the Purpose, and",compliant,nda_1.pdf
Agreement shall not grant Receiving Party any right to Confidential Information.,"5. This Agreement shall not be deemed to confer or imply the grant or agreement to grant by the Disclosing Party to the Receiving Party of any of its rights under copyright, patents, trademarks, design rights or other similar rights.",compliant,nda_11.pdf
All Confidential Information shall be expressly identified by the Disclosing Party.,"WHEREAS Secure Transportation and the Company wish to enter into discussions during which it will be necessary for each party (the ""Disclosing Party"") to disclose to the other (the ""Receiving Party"") information of a confidential or proprietary nature (irrespective of the form of presentation or communication including, but not limited to, computer software and data, physical objects and samples) provided that any disclosure of Information made in writing shall be marked confidential or with words of similar effect and that any disclosure made orally shall subsequently be reduced to writing by the Disclosing Party and marked confidential or with words of similar effect with a copy sent to the Receiving Party within 21 days of disclosure (""Information"").",compliant,nda_11.pdf
Some obligations of Agreement may survive termination of Agreement.,"Such termination or any expiration shall not affect any obligation imposed by this Agreement with respect to Information received prior to such termination,",compliant,nda_11.pdf
Receiving Party may independently develop information similar to Confidential Information.,"4. This Agreement shall not apply to any Information which the Receiving Party:  (a) can show is or becomes publicly available through no fault of the Receiving Party;  (d) can show is independently acquired by the Receiving Party as a result of work carried out by an employee, consultant or contractor of the Receiving Party to whom no disclosure of Information has been made; or",compliant,nda_11.pdf
Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,"3. The Receiving Party shall:  (c) forthwith upon receipt of a written request from the Disclosing Party or upon termination: (i) return all information supplied by the Disclosing Party as well as items and materials relating to or derived from the Information; (ii) deliver to the Disclosing Party or at its request destroy immediately all items and materials made by the Receiving Party containing Information, that are not returned pursuant to paragraph  (i) above; (iii) not keep copies or duplicates of any items or materials referred to in paragraphs  (i) or  (ii) above; and",noncompliant,nda_11.pdf
Confidential Information may include verbally conveyed information.,"WHEREAS Secure Transportation and the Company wish to enter into discussions during which it will be necessary for each party (the ""Disclosing Party"") to disclose to the other (the ""Receiving Party"") information of a confidential or proprietary nature (irrespective of the form of presentation or communication including, but not limited to, computer software and data, physical objects and samples) provided that any disclosure of Information made in writing shall be marked confidential or with words of similar effect and that any disclosure made orally shall subsequently be reduced to writing by the Disclosing Party and marked confidential or with words of similar effect with a copy sent to the Receiving Party within 21 days of disclosure (""Information"").",compliant,nda_11.pdf
"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).","3. The Receiving Party shall:  (b) only disclose Information on a need-to-know basis to such of their employees, agents, consultants and contractors as are under similar obligations of confidentiality as contained in this Agreement including, but not limited to, the use of the Information for the Authorised Purpose only; and",compliant,nda_11.pdf
"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.",4. This Agreement shall not apply to any Information which the Receiving Party:  (e) is required to disclose pursuant to a court order or relevant stock exchange provided that the Receiving Party shall have given prior written notice to the Disclosing Party.,compliant,nda_11.pdf
Receiving Party may acquire information similar to Confidential Information from a third party.,4. This Agreement shall not apply to any Information which the Receiving Party:  (a) can show is or becomes publicly available through no fault of the Receiving Party;  (c) may subsequently receive from any third party legally in possession of the Information and who was not restricted from disclosing it;,compliant,nda_11.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,"3. The Receiving Party shall:  (b) only disclose Information on a need-to-know basis to such of their employees, agents, consultants and contractors as are under similar obligations of confidentiality as contained in this Agreement including, but not limited to, the use of the Information for the Authorised Purpose only; and",compliant,nda_11.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,"2. The Receiving Party shall keep confidential the Information for [five (5)] years from the date of disclosure, and shall not disclose the Information to any other person or company without the Disclosing Party's prior written consent, and shall not itself make any use of such Information for any purpose other than the purpose of supply of logistics services (""the Authorised Purpose"").",compliant,nda_11.pdf
Receiving Party shall not reverse engineer any objects which embody Disclosing Party's Confidential Information.,"To the extent a Party receives software programs from the other Party, the receiving Party is not entitled to carry out reverse engineering of any such software programs or parts thereof, or to utilize such software programs for purposes other than those for which they were clearly and evidently disclosed or received.",compliant,nda_16.pdf
Agreement shall not grant Receiving Party any right to Confidential Information.,"All right, title and interest (including without limitation all intellectual property and other proprietary rights) throughout the world in and to any and all Confidential Information disclosed by a Party as well as inventions, discoveries, improvements, ideas, concepts, designs, know-how, data, code, software, products, information, documentation, techniques, materials and/or other work product in any form and on whatever media and any enhancements, upgrades, modifications and/or alterations thereto in any form, created, conceived, prepared, made, developed, originated and/or delivered (in whole or in part) by or for a Party shall belong exclusively and absolutely to such Party, its sub-contractors and/or licensors (as the case may be). Nothing in this Agreement shall grant or be construed as granting or conferring to a Party any rights, licenses of whatsoever nature, expressly or implied, in the other Party’s intellectual property and Confidential Information.",compliant,nda_16.pdf
All Confidential Information shall be expressly identified by the Disclosing Party.,"In this Agreement ""Confidential Information"" shall, with respect to each Party, mean any and all information which a Party, its directors, employees, representatives or advisors, have received or shall receive in connection with the Business Purpose from the other Party (whether disclosed or obtained in writing, orally, in electronic form, by demonstration or otherwise or in other forms) which  (i) by its nature should be treated confidentially or  (ii) which have been marked or otherwise designated by the disclosing Party as confidential prior to or after disclosure or receipt.",noncompliant,nda_16.pdf
Receiving Party may independently develop information similar to Confidential Information.,"However, Confidential Information shall not include such information which  (iii) which the receiving Party can demonstrate has been independently developed by that Party prior to disclosure.",compliant,nda_16.pdf
Confidential Information may include verbally conveyed information.,"In this Agreement ""Confidential Information"" shall, with respect to each Party, mean any and all information which a Party, its directors, employees, representatives or advisors, have received or shall receive in connection with the Business Purpose from the other Party (whether disclosed or obtained in writing, orally, in electronic form, by demonstration or otherwise or in other forms) which",compliant,nda_16.pdf
"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).","• A Party shall not disclose any Confidential Information received by it to any person other than those of Party’s employees, advisors and representatives who are directly concerned with the purpose for which such Confidential Information was disclosed or received and who need to know such Confidential Information.",compliant,nda_16.pdf
"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.","Notwithstanding Sub-clause 1.1, the obligations undertaken by a Party under this Agreement to maintain confidentiality shall not apply to the extent that the Party is or becomes under an obligation to disclose Confidential Information  (i) by order of a court of competent jurisdiction, or  (ii) under statutory law including according to The Danish Access to Public Administration Files Act, provided that where possible the Party shall first notify the other Party of such obligation and upon request allow the other Party to advance any defense against such obligation where appropriate.  In any event, a Party shall notify the other Party of any disclosure made under this Sub-clause 1.3 promptly after disclosure.",compliant,nda_16.pdf
Receiving Party may acquire information similar to Confidential Information from a third party.,"However, Confidential Information shall not include such information which  (ii) has been received from an independent third party without any restrictions or obligation of confidentiality, or",compliant,nda_16.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,"• A Party shall not disclose any Confidential Information received by it to any person other than those of Party’s employees, advisors and representatives who are directly concerned with the purpose for which such Confidential Information was disclosed or received and who need to know such Confidential Information.",compliant,nda_16.pdf
Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,"• All Confidential Information received by a Party shall be held in complete confidence by such Party and by the Party’s directors, employees, advisors or representatives, and shall not without the prior written consent of the other Party be used for any purpose other than in connection with the purpose for which such Confidential Information was disclosed or received. To the extent a Party receives software programs from the other Party, the receiving Party is not entitled to carry out reverse engineering of any such software programs or parts thereof, or to utilize such software programs for purposes other than those for which they were clearly and evidently disclosed or received.",compliant,nda_16.pdf
Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,"(ii) If Producer determines that the Submission cannot be further developed into a Project, within <….> months of the receipt of the Submission, Producer shall within five (5) business days after such determination return any and all Confidential Information to Writer, along with all copies or derivatives thereof and all writings generated by Producer in connection with Producer’s evaluation of the Submission or the Confidential Information.",compliant,nda_2.pdf
Agreement shall not grant Receiving Party any right to Confidential Information.,"The Confidential Information shall remain the property of Writer and shall not be disclosed or revealed by Producer or anyone else except employees of Producer who have a need to know the information in connection with Producer’s evaluation of the Submission, and who have entered into a secrecy agreement with Producer under which such employees are required to keep confidential the Confidential Information of Writer, and such employees shall be advised by Producer of the confidential nature of the information and that the information shall be treated accordingly.  Nothing in this agreement shall be deemed a sale or offer for sale of the Submission, and nothing contained herein shall in any way obligate Writer to grant to Producer a license or any other rights, directly or by implication, estoppel or otherwise to the Confidential Information or the Submission.",compliant,nda_2.pdf
Some obligations of Agreement may survive termination of Agreement.,".10. Producer’s obligations under paragraphs 3,4, and 8 of this agreement shall extend from the date of this agreement and shall survive the expiration or termination of this agreement, provided, however, that Producer’s obligations under paragraphs 3 and 4 of this agreement shall terminate immediately in the event that Writer .shall purposefully disclose the Confidential Information to any other person, firm, or corporation on a non-confidential basis, during the term of this Agreement.",compliant,nda_2.pdf
Receiving Party may independently develop information similar to Confidential Information.,.2. Confidential Information shall not include any information: (iv) That producer can conclusively show by documentary evidence that such information was developed independent of any access to the Confidential Information.,compliant,nda_2.pdf
Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,"(ii) If Producer determines that the Submission cannot be further developed into a Project, within <….> months of the receipt of the Submission, Producer shall within five (5) business days after such determination return any and all Confidential Information to Writer, along with all copies or derivatives thereof and all writings generated by Producer in connection with Producer’s evaluation of the Submission or the Confidential Information.",noncompliant,nda_2.pdf
Confidential Information may include verbally conveyed information.,"All information disclosed by Writer to Producer, in writing, whether or not such information is also disclosed orally, that relates or refers, directly or indirectly, to the Submission, including the Submission itself, shall be deemed confidential and shall constitute Confidential Information, and shall include",compliant,nda_2.pdf
"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).","The Confidential Information shall remain the property of Writer and shall not be disclosed or revealed by Producer or anyone else except employees of Producer who have a need to know the information in connection with Producer’s evaluation of the Submission, and who have entered into a secrecy agreement with Producer under which such employees are required to keep confidential the Confidential Information of Writer, and such employees shall be advised by Producer of the confidential nature of the information and that the information shall be treated accordingly.  (i) Producer shall notify Writer of any determination it may arrive at with respect to the further development of the submission, provided, however, that, in doing so, Producer shall not directly or indirectly disclose any Confidential Information to any third party, without the consent of Writer.",noncompliant,nda_2.pdf
Receiving Party may acquire information similar to Confidential Information from a third party.,".2. Confidential Information shall not include any information: (iii) That is subsequently disclos3ed by Writer to any person, firm or corporation on a on-confidential basis; or",compliant,nda_2.pdf
Receiving Party may share some Confidential Information with some of Receiving Party's employees.,"The Confidential Information shall remain the property of Writer and shall not be disclosed or revealed by Producer or anyone else except employees of Producer who have a need to know the information in connection with Producer’s evaluation of the Submission, and who have entered into a secrecy agreement with Producer under which such employees are required to keep confidential the Confidential Information of Writer, and such employees shall be advised by Producer of the confidential nature of the information and that the information shall be treated accordingly.",compliant,nda_2.pdf
